Date,Open,High,Low,Close,Volume,Adj Close
2013-04-18,373.25,377.90,362.30,369.05,2546300,355.18
2013-04-17,385.00,385.45,371.20,374.55,1136400,360.48
2013-04-16,378.50,383.10,376.70,381.35,687000,367.02
2013-04-15,383.90,392.65,376.30,379.10,1576500,364.86
2013-04-12,389.90,390.00,379.05,383.80,3876300,369.38
2013-04-11,407.40,408.00,399.00,402.05,1280000,386.94
2013-04-10,395.10,404.80,395.10,402.25,2437900,387.14
2013-04-09,407.00,418.00,390.25,393.70,7085800,378.91
2013-04-08,451.50,456.00,429.55,448.80,6135600,431.94
2013-04-05,441.50,463.00,438.75,454.60,1807500,437.52
2013-04-04,447.00,451.75,441.50,444.00,1631200,427.32
2013-04-03,447.10,454.70,446.00,448.60,1961700,431.75
2013-04-02,431.00,451.20,427.70,449.65,1903200,432.76
2013-04-01,437.30,441.75,428.10,431.00,875500,414.81
2013-03-29,437.15,437.15,437.15,437.15,000,420.73
2013-03-28,433.95,441.90,431.40,437.15,3358200,420.73
2013-03-27,437.95,437.95,437.95,437.95,000,421.50
2013-03-26,431.50,441.10,426.50,437.95,1201500,421.50
2013-03-25,439.30,440.40,429.55,431.35,1593900,415.14
2013-03-22,435.30,439.45,429.15,435.70,1183800,419.33
2013-03-21,430.50,437.25,427.35,434.75,1008400,418.42
2013-03-20,433.35,435.75,426.40,429.95,1510000,413.80
2013-03-19,435.00,438.90,429.70,433.65,727200,417.36
2013-03-18,438.40,440.85,432.00,433.65,508300,417.36
2013-03-15,438.90,442.70,436.15,440.95,807800,424.38
2013-03-14,439.30,443.75,434.40,438.50,1035200,422.03
2013-03-13,437.90,445.25,435.40,439.30,1271300,422.80
2013-03-12,440.10,443.70,434.30,438.65,1123700,422.17
2013-03-11,442.75,449.45,437.60,439.55,1570400,423.04
2013-03-08,448.90,456.00,444.30,445.35,2576600,428.62
2013-03-07,443.10,452.80,443.10,449.35,2740200,432.47
2013-03-06,433.50,446.00,433.45,441.90,1993500,425.30
2013-03-05,420.05,434.65,419.00,433.05,2553600,416.78
2013-03-04,420.05,424.80,418.15,419.50,1330500,403.74
2013-03-01,420.00,425.50,418.40,421.70,1313800,405.86
2013-02-28,420.00,425.50,411.50,416.40,2877300,400.76
2013-02-27,418.00,422.65,413.15,418.50,1547500,402.78
2013-02-26,416.95,420.55,412.85,415.90,1446400,400.27
2013-02-25,416.20,425.80,416.20,419.10,1852000,403.35
2013-02-22,404.50,418.45,403.15,415.95,2171700,400.32
2013-02-21,410.15,416.55,403.85,405.80,1336000,390.55
2013-02-20,411.00,415.40,408.85,412.30,1025900,396.81
2013-02-19,404.05,412.10,400.60,410.75,946700,395.32
2013-02-18,397.75,404.00,393.65,402.90,1144900,387.76
2013-02-15,395.00,402.40,385.10,399.25,1543900,384.25
2013-02-14,405.20,406.00,394.00,395.80,2920000,380.93
2013-02-13,412.25,415.90,406.40,409.45,1098300,394.07
2013-02-12,410.00,413.70,405.25,411.85,845200,396.38
2013-02-11,414.00,420.85,408.10,409.50,1477900,394.11
2013-02-08,408.00,415.50,403.25,412.40,1064700,396.91
2013-02-07,403.00,407.60,401.00,405.70,478600,390.46
2013-02-06,408.70,409.95,402.10,405.65,832700,390.41
2013-02-05,406.00,407.95,402.60,407.00,800800,391.71
2013-02-04,408.30,410.35,405.85,408.10,1020700,392.77
2013-02-01,410.00,413.45,407.05,407.60,1109300,392.29
2013-01-31,412.10,415.50,406.60,411.55,1357400,396.09
2013-01-30,407.80,416.90,405.15,414.85,1029200,399.26
2013-01-29,410.25,413.00,405.45,408.65,1226600,393.30
2013-01-28,407.90,417.25,405.50,413.55,1433900,398.01
2013-01-25,404.00,408.40,400.60,407.65,1272800,392.33
2013-01-24,402.00,408.00,401.80,404.95,1478200,389.74
2013-01-23,397.25,402.95,396.95,401.75,1547800,386.66
2013-01-22,398.15,403.25,395.90,398.75,2226300,381.84
2013-01-21,401.05,401.80,393.25,397.55,2877900,380.69
2013-01-18,438.00,439.60,395.25,397.35,8013500,380.50
2013-01-17,424.00,436.50,422.40,430.70,3904900,412.44
2013-01-16,421.00,425.00,416.30,419.95,1542300,402.15
2013-01-15,421.50,423.60,417.00,420.95,976900,403.10
2013-01-14,423.05,424.90,417.35,419.15,1580900,401.38
2013-01-11,406.00,422.80,404.55,419.95,4507500,402.15
2013-01-10,398.80,405.80,393.50,395.60,1857400,378.83
2013-01-09,398.25,400.90,393.55,397.05,1438500,380.22
2013-01-08,402.90,404.75,395.60,398.15,1094700,381.27
2013-01-07,403.75,408.50,403.05,404.95,1249600,387.78
2013-01-04,398.90,404.90,397.65,403.65,1699200,386.54
2013-01-03,395.50,399.00,393.85,397.80,1742400,380.93
2013-01-02,398.30,399.25,391.70,393.75,856100,377.06
2013-01-01,396.05,399.00,391.15,396.90,796400,380.07
2012-12-31,393.70,398.50,392.60,394.50,2328100,377.77
2012-12-28,386.15,392.95,386.15,392.05,781500,375.43
2012-12-27,387.50,388.00,382.25,385.50,1349300,369.16
2012-12-26,384.10,385.85,381.55,385.05,716100,368.72
2012-12-25,385.95,385.95,385.95,385.95,000,369.59
2012-12-24,380.15,386.90,380.15,385.95,572400,369.59
2012-12-21,378.30,383.90,377.10,379.45,818300,363.36
2012-12-20,387.50,391.00,379.15,382.05,1187900,365.85
2012-12-19,377.05,387.10,374.55,386.15,935900,369.78
2012-12-18,370.75,379.50,367.95,375.85,1219400,359.91
2012-12-17,377.00,378.00,366.40,370.20,1145700,354.50
2012-12-14,372.35,377.70,372.35,375.95,772000,360.01
2012-12-13,374.80,379.40,372.75,373.60,1035600,357.76
2012-12-12,381.40,385.50,371.70,374.80,1596700,358.91
2012-12-11,384.50,387.90,374.30,379.55,1205900,363.46
2012-12-10,389.85,390.00,381.00,382.10,1212000,365.90
2012-12-07,382.65,382.65,378.50,380.20,844800,364.08
2012-12-06,382.65,383.00,375.20,379.85,1026700,363.75
2012-12-05,388.55,391.15,378.90,380.95,1392600,364.80
2012-12-04,395.10,399.95,385.55,388.10,1058200,371.65
2012-12-03,393.10,397.45,393.00,394.60,1192300,377.87
2012-11-30,385.30,396.00,384.85,393.25,1954600,376.58
2012-11-29,377.55,389.85,377.25,386.35,2879600,369.97
2012-11-28,378.95,378.95,378.95,378.95,000,362.88
2012-11-27,376.00,380.65,375.65,378.95,1851400,362.88
2012-11-26,368.00,376.70,367.00,375.45,1394200,359.53
2012-11-23,372.00,375.65,365.00,366.85,715700,351.30
2012-11-22,368.15,372.60,366.30,370.80,714400,355.08
2012-11-21,361.60,368.00,360.90,366.80,663800,351.25
2012-11-20,361.00,363.80,356.20,361.75,666300,346.41
2012-11-19,358.35,362.40,355.15,358.15,625200,342.97
2012-11-16,361.00,365.80,358.00,359.10,576200,343.88
2012-11-15,368.20,369.35,360.25,361.75,564900,346.41
2012-11-14,368.75,368.75,368.75,368.75,000,353.12
2012-11-13,368.75,368.75,368.75,368.75,000,353.12
2012-11-12,370.20,373.10,367.05,368.75,718900,353.12
2012-11-09,375.45,378.05,369.25,370.80,934700,355.08
2012-11-08,364.90,376.50,295.00,375.40,2353400,359.48
2012-11-07,366.00,371.00,365.55,367.85,1112100,352.25
2012-11-06,362.50,367.35,360.00,366.00,1245000,350.48
2012-11-05,364.95,367.50,360.45,362.50,863100,347.13
2012-11-02,370.00,372.95,358.30,364.60,5104400,349.14
2012-11-01,348.00,366.00,348.00,361.25,6803100,345.93
2012-10-31,348.10,355.25,348.10,350.65,1965600,335.78
2012-10-30,345.25,349.05,341.55,347.55,2785400,332.81
